Year,Season,City,Sport,Event,Athlete,Gender,Country,Medal,Age
2008,Summer,London,Boxing,Event_15,Serena Williams,Male,USA,Silver,24
2012,Summer,Beijing,Swimming,Event_20,Mary Kom,Female,Jamaica,Bronze,35
2020,Summer,Tokyo,Boxing,Event_13,Simone Biles,Male,UK,Bronze,26
2008,Summer,London,Gymnastics,Event_1,Wayde van Niekerk,Female,Japan,Gold,25
2020,Summer,Rio,Athletics,Event_13,Caeleb Dressel,Male,USA,Bronze,23
2012,Summer,Tokyo,Badminton,Event_7,Caeleb Dressel,Female,India,Bronze,26
2020,Summer,Tokyo,Gymnastics,Event_20,Michael Phelps,Male,USA,Bronze,25
2016,Summer,Rio,Gymnastics,Event_1,Michael Phelps,Male,Jamaica,Gold,33
2016,Summer,London,Badminton,Event_3,Usain Bolt,Male,Australia,Silver,34
2020,Summer,Rio,Badminton,Event_5,Sushil Kumar,Male,India,Silver,32
2016,Summer,Beijing,Boxing,Event_18,Serena Williams,Female,Japan,Bronze,35
2020,Summer,Beijing,Badminton,Event_17,Simone Biles,Female,USA,Gold,22
2016,Summer,Rio,Badminton,Event_7,P V Sindhu,Female,Jamaica,Gold,33
2016,Summer,Beijing,Athletics,Event_20,Caeleb Dressel,Male,Japan,Silver,31
2012,Summer,London,Swimming,Event_1,Neeraj Chopra,Female,Jamaica,Bronze,35
2020,Summer,London,Wrestling,Event_7,Usain Bolt,Male,China,Silver,19
2020,Summer,London,Gymnastics,Event_7,Neeraj Chopra,Female,UK,Silver,34
2012,Summer,London,Swimming,Event_6,Michael Phelps,Male,China,Bronze,18
2016,Summer,Rio,Gymnastics,Event_8,P V Sindhu,Female,India,Gold,18
2020,Summer,Beijing,Badminton,Event_11,Usain Bolt,Female,Japan,Gold,35
2012,Summer,Tokyo,Athletics,Event_4,Neeraj Chopra,Male,China,Bronze,21
2012,Summer,Rio,Swimming,Event_10,Caeleb Dressel,Male,Japan,Silver,31
2012,Summer,Tokyo,Swimming,Event_1,Serena Williams,Female,China,Gold,19
2016,Summer,Tokyo,Badminton,Event_19,Simone Biles,Male,UK,Gold,27
2008,Summer,Beijing,Swimming,Event_8,Sushil Kumar,Female,Japan,Bronze,26
2016,Summer,Beijing,Gymnastics,Event_5,P V Sindhu,Male,China,Silver,32
2020,Summer,Tokyo,Athletics,Event_17,Usain Bolt,Male,Japan,Gold,25
2008,Summer,Rio,Badminton,Event_18,Yuzuru Hanyu,Male,Japan,Gold,27
2012,Summer,Rio,Swimming,Event_18,Yuzuru Hanyu,Female,Japan,Gold,27
2008,Summer,Rio,Wrestling,Event_2,Mirabai Chanu,Male,USA,Silver,27
2016,Summer,Tokyo,Wrestling,Event_9,Mirabai Chanu,Female,Japan,Bronze,19
2020,Summer,Rio,Wrestling,Event_5,Wayde van Niekerk,Female,Jamaica,Silver,21
2016,Summer,Beijing,Athletics,Event_11,Sushil Kumar,Male,Australia,Silver,35
2020,Summer,Rio,Gymnastics,Event_3,Mary Kom,Male,Australia,Silver,30
2008,Summer,Rio,Wrestling,Event_19,Michael Phelps,Female,UK,Silver,28
2020,Summer,Tokyo,Swimming,Event_13,Sushil Kumar,Female,India,Gold,20
2016,Summer,London,Badminton,Event_7,Mirabai Chanu,Female,Australia,Silver,20
2020,Summer,Rio,Badminton,Event_12,Michael Phelps,Female,UK,Bronze,26
2012,Summer,Beijing,Swimming,Event_6,Serena Williams,Male,China,Gold,25
2016,Summer,Tokyo,Badminton,Event_19,Yuzuru Hanyu,Female,China,Gold,19
2016,Summer,London,Badminton,Event_9,Yuzuru Hanyu,Female,UK,Gold,24
2016,Summer,London,Athletics,Event_19,Yuzuru Hanyu,Female,USA,Silver,19
2012,Summer,Beijing,Swimming,Event_11,Mary Kom,Female,UK,Silver,25
2016,Summer,London,Gymnastics,Event_4,Michael Phelps,Female,Jamaica,Silver,26
2016,Summer,London,Wrestling,Event_16,Wayde van Niekerk,Male,Jamaica,Silver,18
2012,Summer,Beijing,Boxing,Event_4,Wayde van Niekerk,Male,Jamaica,Bronze,23
2012,Summer,Rio,Gymnastics,Event_18,Neeraj Chopra,Male,India,Bronze,19
2020,Summer,Rio,Gymnastics,Event_2,Yuzuru Hanyu,Male,Jamaica,Silver,27
2020,Summer,Tokyo,Wrestling,Event_11,Caeleb Dressel,Female,Jamaica,Silver,29
2016,Summer,Tokyo,Boxing,Event_14,Yuzuru Hanyu,Male,Japan,Silver,35
2012,Summer,Rio,Athletics,Event_4,Wayde van Niekerk,Male,UK,Silver,24
2012,Summer,Beijing,Boxing,Event_1,Caeleb Dressel,Male,China,Silver,27
2020,Summer,London,Swimming,Event_9,P V Sindhu,Male,India,Bronze,34
2012,Summer,London,Swimming,Event_3,Neeraj Chopra,Female,Australia,Gold,32
2020,Summer,Beijing,Swimming,Event_7,Simone Biles,Female,Jamaica,Gold,35
2008,Summer,Rio,Wrestling,Event_9,Sushil Kumar,Female,USA,Bronze,28
2012,Summer,Beijing,Boxing,Event_6,Michael Phelps,Female,Japan,Gold,20
2020,Summer,Rio,Gymnastics,Event_6,Mary Kom,Female,Jamaica,Gold,24
2012,Summer,Beijing,Gymnastics,Event_13,P V Sindhu,Female,China,Bronze,35
2020,Summer,London,Gymnastics,Event_18,Neeraj Chopra,Male,Jamaica,Silver,22
2012,Summer,Rio,Athletics,Event_14,Michael Phelps,Male,UK,Gold,22
2020,Summer,Tokyo,Gymnastics,Event_5,Simone Biles,Male,China,Gold,18
2008,Summer,London,Wrestling,Event_2,P V Sindhu,Male,India,Gold,27
2012,Summer,Rio,Boxing,Event_4,Mirabai Chanu,Female,UK,Bronze,35
2016,Summer,Beijing,Gymnastics,Event_10,Wayde van Niekerk,Female,Japan,Silver,33
2012,Summer,Beijing,Wrestling,Event_3,Sushil Kumar,Female,UK,Silver,35
2012,Summer,Beijing,Boxing,Event_19,Mary Kom,Female,Jamaica,Silver,35
2020,Summer,London,Badminton,Event_6,Serena Williams,Male,India,Gold,18
2020,Summer,Beijing,Athletics,Event_8,Simone Biles,Male,China,Silver,19
2008,Summer,Beijing,Athletics,Event_6,Mirabai Chanu,Female,USA,Gold,25
2012,Summer,Tokyo,Wrestling,Event_19,Mirabai Chanu,Female,Japan,Gold,20
2016,Summer,London,Badminton,Event_8,Michael Phelps,Female,Australia,Gold,33
2016,Summer,Beijing,Swimming,Event_18,Wayde van Niekerk,Female,Jamaica,Silver,23
2020,Summer,Rio,Wrestling,Event_7,Usain Bolt,Female,Australia,Gold,22
2016,Summer,Rio,Athletics,Event_9,Usain Bolt,Male,Jamaica,Silver,21
2012,Summer,Rio,Swimming,Event_15,Michael Phelps,Female,China,Bronze,27
2012,Summer,Tokyo,Gymnastics,Event_7,Sushil Kumar,Female,Japan,Silver,21
2016,Summer,Beijing,Swimming,Event_14,Sushil Kumar,Male,Japan,Silver,30
2016,Summer,Beijing,Athletics,Event_8,Caeleb Dressel,Female,India,Bronze,18
2008,Summer,Tokyo,Badminton,Event_17,Yuzuru Hanyu,Male,UK,Silver,29
2020,Summer,Tokyo,Athletics,Event_19,Simone Biles,Male,USA,Gold,24
2020,Summer,Rio,Athletics,Event_4,P V Sindhu,Female,Japan,Silver,20
2020,Summer,Rio,Swimming,Event_14,Mirabai Chanu,Male,UK,Bronze,31
2020,Summer,Beijing,Wrestling,Event_20,Serena Williams,Male,USA,Gold,30
2012,Summer,Tokyo,Athletics,Event_14,Mary Kom,Male,USA,Silver,33
2016,Summer,London,Wrestling,Event_14,Sushil Kumar,Male,UK,Gold,33
2012,Summer,London,Gymnastics,Event_13,Yuzuru Hanyu,Male,Jamaica,Gold,34
2020,Summer,Tokyo,Gymnastics,Event_7,Yuzuru Hanyu,Female,India,Gold,26
2012,Summer,Beijing,Swimming,Event_5,Michael Phelps,Female,Jamaica,Bronze,29
2012,Summer,Tokyo,Swimming,Event_6,Wayde van Niekerk,Male,Australia,Gold,35
2008,Summer,Beijing,Wrestling,Event_13,Sushil Kumar,Female,Japan,Gold,21
2016,Summer,London,Boxing,Event_4,Neeraj Chopra,Female,India,Silver,21
2020,Summer,Rio,Gymnastics,Event_1,Neeraj Chopra,Male,Australia,Bronze,27
2008,Summer,London,Badminton,Event_18,Simone Biles,Male,USA,Silver,20
2008,Summer,London,Athletics,Event_20,Serena Williams,Female,USA,Bronze,35
2020,Summer,Rio,Athletics,Event_4,Usain Bolt,Female,UK,Bronze,33
2020,Summer,Beijing,Badminton,Event_8,Caeleb Dressel,Male,Australia,Gold,32
2020,Summer,London,Boxing,Event_6,Simone Biles,Male,Australia,Silver,24
2016,Summer,Rio,Swimming,Event_2,Neeraj Chopra,Female,Jamaica,Silver,35
2012,Summer,London,Boxing,Event_6,Michael Phelps,Male,India,Silver,26
2020,Summer,London,Badminton,Event_2,P V Sindhu,Female,India,Bronze,19
2016,Summer,Tokyo,Gymnastics,Event_14,Mirabai Chanu,Male,Australia,Gold,34
2020,Summer,Tokyo,Badminton,Event_13,Simone Biles,Female,USA,Silver,25
2008,Summer,London,Boxing,Event_14,Yuzuru Hanyu,Male,Japan,Bronze,29
2008,Summer,Tokyo,Athletics,Event_12,Mirabai Chanu,Female,Japan,Gold,28
2012,Summer,Beijing,Gymnastics,Event_20,Michael Phelps,Female,Jamaica,Silver,21
2020,Summer,London,Wrestling,Event_11,Sushil Kumar,Female,USA,Bronze,27
2012,Summer,Rio,Gymnastics,Event_15,Yuzuru Hanyu,Male,USA,Bronze,33
2016,Summer,Rio,Athletics,Event_1,P V Sindhu,Male,USA,Gold,22
2008,Summer,London,Badminton,Event_18,P V Sindhu,Female,UK,Silver,25
2020,Summer,Rio,Badminton,Event_20,Usain Bolt,Male,India,Silver,31
2016,Summer,Beijing,Badminton,Event_7,Michael Phelps,Female,USA,Bronze,25
2012,Summer,Beijing,Wrestling,Event_2,Michael Phelps,Male,China,Silver,23
2016,Summer,London,Swimming,Event_10,Mary Kom,Male,USA,Bronze,18
2016,Summer,Beijing,Swimming,Event_17,Mirabai Chanu,Male,USA,Bronze,29
2020,Summer,Rio,Swimming,Event_16,Wayde van Niekerk,Female,UK,Gold,27
2012,Summer,Beijing,Boxing,Event_17,Wayde van Niekerk,Male,Jamaica,Gold,26
2020,Summer,Rio,Swimming,Event_13,Sushil Kumar,Female,Jamaica,Bronze,26
2020,Summer,Beijing,Wrestling,Event_14,P V Sindhu,Male,Japan,Bronze,18
2020,Summer,London,Athletics,Event_6,Usain Bolt,Male,Jamaica,Bronze,19
2008,Summer,Rio,Boxing,Event_8,Mirabai Chanu,Male,UK,Silver,24
2020,Summer,Beijing,Badminton,Event_2,Caeleb Dressel,Male,India,Bronze,31
2008,Summer,Rio,Badminton,Event_11,Usain Bolt,Male,Japan,Gold,29
2012,Summer,Tokyo,Wrestling,Event_9,Caeleb Dressel,Male,Jamaica,Silver,32
2008,Summer,Beijing,Boxing,Event_6,P V Sindhu,Female,UK,Bronze,28
2020,Summer,Rio,Boxing,Event_19,Mary Kom,Male,India,Gold,27
2016,Summer,Rio,Athletics,Event_16,Wayde van Niekerk,Male,Jamaica,Silver,18
2020,Summer,Tokyo,Boxing,Event_3,Caeleb Dressel,Female,UK,Silver,23
2016,Summer,London,Badminton,Event_10,Caeleb Dressel,Female,Australia,Silver,24
2008,Summer,Rio,Boxing,Event_1,Caeleb Dressel,Female,UK,Bronze,35
2008,Summer,London,Boxing,Event_2,Simone Biles,Male,India,Bronze,26
2012,Summer,Beijing,Wrestling,Event_13,Sushil Kumar,Male,UK,Silver,32
2020,Summer,Rio,Swimming,Event_14,Yuzuru Hanyu,Male,India,Gold,18
2008,Summer,Beijing,Gymnastics,Event_11,Sushil Kumar,Female,China,Gold,22
2012,Summer,London,Athletics,Event_10,Neeraj Chopra,Female,Japan,Gold,19
2016,Summer,London,Swimming,Event_11,Neeraj Chopra,Female,China,Bronze,20
2012,Summer,London,Gymnastics,Event_1,Michael Phelps,Female,USA,Bronze,27
2016,Summer,Tokyo,Wrestling,Event_20,Yuzuru Hanyu,Male,USA,Silver,27
2020,Summer,London,Badminton,Event_6,Caeleb Dressel,Male,Jamaica,Gold,19
2008,Summer,Rio,Badminton,Event_17,Usain Bolt,Male,India,Bronze,21
2008,Summer,Rio,Athletics,Event_10,Serena Williams,Female,Jamaica,Bronze,29
2012,Summer,Rio,Wrestling,Event_3,Usain Bolt,Female,Jamaica,Silver,24
2008,Summer,Rio,Gymnastics,Event_1,Michael Phelps,Male,Jamaica,Silver,35
2020,Summer,Beijing,Wrestling,Event_5,Wayde van Niekerk,Male,Japan,Bronze,27
2016,Summer,London,Swimming,Event_12,Simone Biles,Male,India,Bronze,34
2008,Summer,London,Badminton,Event_14,Serena Williams,Male,USA,Silver,29
2012,Summer,London,Gymnastics,Event_10,Caeleb Dressel,Male,Japan,Bronze,23
2008,Summer,London,Boxing,Event_19,Mary Kom,Male,India,Gold,27
2008,Summer,Rio,Gymnastics,Event_10,Mirabai Chanu,Male,Australia,Silver,29
2016,Summer,Beijing,Badminton,Event_10,Mirabai Chanu,Male,UK,Silver,35
2016,Summer,Beijing,Athletics,Event_4,Caeleb Dressel,Male,UK,Silver,18
2016,Summer,London,Gymnastics,Event_19,Mary Kom,Female,Japan,Silver,32
2016,Summer,Beijing,Boxing,Event_6,Serena Williams,Female,Jamaica,Silver,35
2016,Summer,Beijing,Swimming,Event_13,Sushil Kumar,Male,Japan,Silver,19
2016,Summer,Beijing,Badminton,Event_5,P V Sindhu,Male,USA,Gold,32
2012,Summer,London,Athletics,Event_8,Usain Bolt,Male,Japan,Bronze,35
2016,Summer,Beijing,Swimming,Event_17,Sushil Kumar,Female,India,Gold,18
2008,Summer,Tokyo,Wrestling,Event_18,Wayde van Niekerk,Male,USA,Gold,31
2012,Summer,Tokyo,Gymnastics,Event_14,Mary Kom,Male,Jamaica,Gold,22
2008,Summer,London,Gymnastics,Event_19,Caeleb Dressel,Female,USA,Bronze,22
2016,Summer,Tokyo,Athletics,Event_16,Neeraj Chopra,Male,Jamaica,Bronze,27
2020,Summer,London,Wrestling,Event_11,Neeraj Chopra,Female,Jamaica,Bronze,21
2008,Summer,London,Boxing,Event_17,Neeraj Chopra,Male,Japan,Silver,30
2008,Summer,Beijing,Gymnastics,Event_14,Wayde van Niekerk,Male,USA,Bronze,32
2012,Summer,Beijing,Athletics,Event_19,Michael Phelps,Female,China,Silver,35
2016,Summer,London,Athletics,Event_8,Caeleb Dressel,Female,China,Gold,18
2016,Summer,Beijing,Gymnastics,Event_17,P V Sindhu,Male,Australia,Gold,18
2012,Summer,London,Athletics,Event_19,Neeraj Chopra,Female,China,Silver,34
2020,Summer,London,Badminton,Event_12,Usain Bolt,Female,China,Gold,35
2012,Summer,Tokyo,Wrestling,Event_17,Caeleb Dressel,Male,UK,Silver,31
2020,Summer,Beijing,Wrestling,Event_16,Usain Bolt,Female,Australia,Gold,33
2020,Summer,London,Badminton,Event_4,Mary Kom,Female,USA,Gold,24
2008,Summer,Tokyo,Boxing,Event_9,Serena Williams,Female,Japan,Bronze,27
2016,Summer,London,Wrestling,Event_6,Yuzuru Hanyu,Female,USA,Silver,27
2008,Summer,London,Athletics,Event_2,Mary Kom,Male,UK,Silver,35
2020,Summer,Rio,Swimming,Event_17,Yuzuru Hanyu,Female,Japan,Gold,34
2012,Summer,Rio,Gymnastics,Event_8,Usain Bolt,Male,USA,Silver,29
2016,Summer,Tokyo,Athletics,Event_4,Caeleb Dressel,Male,Australia,Gold,29
2012,Summer,Beijing,Swimming,Event_20,Mirabai Chanu,Female,USA,Bronze,27
2012,Summer,Tokyo,Boxing,Event_14,Simone Biles,Male,UK,Gold,26
2016,Summer,Tokyo,Badminton,Event_6,Mary Kom,Female,Jamaica,Gold,21
2012,Summer,Beijing,Athletics,Event_11,Yuzuru Hanyu,Female,UK,Bronze,25
2020,Summer,Beijing,Athletics,Event_11,P V Sindhu,Female,India,Silver,20
2020,Summer,Tokyo,Athletics,Event_14,Mary Kom,Male,Japan,Gold,35
2020,Summer,London,Boxing,Event_15,Caeleb Dressel,Male,India,Bronze,30
2012,Summer,Rio,Athletics,Event_8,Usain Bolt,Female,China,Gold,18
2008,Summer,Tokyo,Gymnastics,Event_2,Sushil Kumar,Male,Australia,Gold,33
2008,Summer,London,Badminton,Event_7,Caeleb Dressel,Female,Jamaica,Bronze,27
2008,Summer,London,Swimming,Event_7,Sushil Kumar,Female,Jamaica,Bronze,29
2012,Summer,Tokyo,Boxing,Event_18,P V Sindhu,Male,UK,Bronze,34
2016,Summer,Beijing,Boxing,Event_18,Simone Biles,Male,India,Silver,23
2012,Summer,Rio,Badminton,Event_15,Yuzuru Hanyu,Male,Australia,Gold,24
2012,Summer,Rio,Boxing,Event_18,P V Sindhu,Female,Australia,Bronze,25
2016,Summer,Beijing,Athletics,Event_20,P V Sindhu,Female,India,Bronze,19
2020,Summer,London,Athletics,Event_2,Yuzuru Hanyu,Female,Australia,Bronze,30
2008,Summer,Beijing,Gymnastics,Event_8,Mirabai Chanu,Male,Australia,Silver,21
2008,Summer,Tokyo,Athletics,Event_5,Mary Kom,Female,China,Gold,26
2016,Summer,Beijing,Gymnastics,Event_10,Neeraj Chopra,Male,Australia,Silver,18
2020,Summer,Tokyo,Gymnastics,Event_18,Mary Kom,Male,India,Gold,32
2016,Summer,Tokyo,Gymnastics,Event_18,Neeraj Chopra,Male,USA,Gold,21
2012,Summer,Beijing,Swimming,Event_1,Usain Bolt,Female,India,Silver,20
2020,Summer,Rio,Swimming,Event_20,Wayde van Niekerk,Female,USA,Bronze,28
2008,Summer,Tokyo,Gymnastics,Event_3,Simone Biles,Female,USA,Silver,25
2008,Summer,Rio,Athletics,Event_9,Mary Kom,Female,Australia,Silver,35
2020,Summer,London,Gymnastics,Event_4,Serena Williams,Female,Australia,Silver,24
2020,Summer,Tokyo,Athletics,Event_16,Serena Williams,Male,China,Gold,35
2016,Summer,Beijing,Gymnastics,Event_7,Michael Phelps,Male,Japan,Bronze,34
2020,Summer,Rio,Boxing,Event_16,Simone Biles,Female,USA,Gold,23
2012,Summer,Tokyo,Wrestling,Event_6,Usain Bolt,Female,China,Silver,28
2020,Summer,Rio,Gymnastics,Event_5,P V Sindhu,Female,USA,Bronze,30
2020,Summer,London,Wrestling,Event_5,Sushil Kumar,Male,USA,Silver,19
2008,Summer,Rio,Swimming,Event_4,Neeraj Chopra,Female,Jamaica,Silver,19
2012,Summer,London,Boxing,Event_19,Yuzuru Hanyu,Female,Australia,Bronze,28
2020,Summer,Tokyo,Gymnastics,Event_4,Michael Phelps,Male,India,Gold,23
2020,Summer,Beijing,Gymnastics,Event_3,Simone Biles,Female,China,Silver,23
2012,Summer,Beijing,Athletics,Event_18,Serena Williams,Female,Australia,Gold,32
2012,Summer,London,Boxing,Event_6,Yuzuru Hanyu,Male,UK,Silver,18
2008,Summer,Rio,Swimming,Event_16,Serena Williams,Female,India,Silver,20
2008,Summer,Beijing,Wrestling,Event_19,Mary Kom,Male,Japan,Gold,22
2012,Summer,London,Wrestling,Event_7,Usain Bolt,Male,China,Bronze,27
2016,Summer,Rio,Swimming,Event_16,Caeleb Dressel,Female,China,Bronze,31
2020,Summer,Rio,Badminton,Event_3,Yuzuru Hanyu,Female,Jamaica,Silver,22
2008,Summer,Beijing,Gymnastics,Event_9,Serena Williams,Female,China,Gold,33
2020,Summer,Tokyo,Gymnastics,Event_6,Yuzuru Hanyu,Male,Jamaica,Bronze,22
2008,Summer,Rio,Swimming,Event_6,Yuzuru Hanyu,Male,Japan,Bronze,23
2020,Summer,London,Wrestling,Event_12,Mary Kom,Female,UK,Silver,21
2008,Summer,Rio,Boxing,Event_10,P V Sindhu,Male,Jamaica,Silver,34
2012,Summer,Beijing,Badminton,Event_5,Michael Phelps,Female,India,Bronze,18
2012,Summer,Rio,Athletics,Event_4,Caeleb Dressel,Female,Japan,Bronze,27
2008,Summer,Tokyo,Badminton,Event_18,Michael Phelps,Male,India,Silver,28
2012,Summer,Beijing,Badminton,Event_17,Michael Phelps,Male,Australia,Gold,24
2012,Summer,Rio,Swimming,Event_1,Simone Biles,Female,Japan,Silver,24
2016,Summer,London,Gymnastics,Event_2,Usain Bolt,Female,China,Gold,30
2020,Summer,Tokyo,Athletics,Event_1,Wayde van Niekerk,Male,China,Bronze,23
2016,Summer,London,Boxing,Event_9,Yuzuru Hanyu,Female,China,Silver,35
2008,Summer,Tokyo,Wrestling,Event_1,Mary Kom,Male,Australia,Silver,31
2008,Summer,London,Wrestling,Event_11,Wayde van Niekerk,Male,UK,Bronze,25
2016,Summer,Rio,Athletics,Event_4,Caeleb Dressel,Male,Jamaica,Bronze,21
2016,Summer,Beijing,Swimming,Event_11,Neeraj Chopra,Female,Japan,Gold,33
2016,Summer,Beijing,Swimming,Event_12,Michael Phelps,Female,UK,Bronze,20
2008,Summer,Beijing,Athletics,Event_14,Neeraj Chopra,Female,Jamaica,Gold,34
2020,Summer,Beijing,Gymnastics,Event_1,Caeleb Dressel,Male,USA,Gold,26
2020,Summer,London,Badminton,Event_6,Michael Phelps,Male,Jamaica,Silver,26
2008,Summer,Beijing,Athletics,Event_11,Simone Biles,Female,USA,Silver,25
2012,Summer,Beijing,Athletics,Event_1,Simone Biles,Female,China,Bronze,35
2012,Summer,London,Boxing,Event_2,Sushil Kumar,Female,USA,Bronze,34
2020,Summer,Tokyo,Athletics,Event_3,Usain Bolt,Male,China,Gold,22
2012,Summer,Rio,Athletics,Event_6,Wayde van Niekerk,Female,Japan,Bronze,18
2020,Summer,London,Boxing,Event_17,Mirabai Chanu,Male,UK,Bronze,21
2016,Summer,London,Badminton,Event_17,Neeraj Chopra,Male,USA,Silver,33
2008,Summer,Tokyo,Boxing,Event_7,Yuzuru Hanyu,Male,China,Gold,25
2020,Summer,London,Athletics,Event_8,Sushil Kumar,Female,Jamaica,Gold,32
2012,Summer,Tokyo,Swimming,Event_17,Mary Kom,Male,China,Bronze,31
2008,Summer,London,Badminton,Event_2,P V Sindhu,Male,China,Bronze,28
2008,Summer,Beijing,Athletics,Event_1,Mirabai Chanu,Male,Japan,Bronze,23
2012,Summer,Rio,Boxing,Event_14,P V Sindhu,Male,China,Gold,19
2012,Summer,Tokyo,Athletics,Event_17,Simone Biles,Male,China,Bronze,32
2008,Summer,Beijing,Gymnastics,Event_16,Wayde van Niekerk,Male,UK,Bronze,21
2020,Summer,Tokyo,Badminton,Event_7,Usain Bolt,Male,Japan,Gold,21
2016,Summer,Rio,Swimming,Event_17,P V Sindhu,Male,Jamaica,Gold,32
2012,Summer,Tokyo,Athletics,Event_2,Caeleb Dressel,Female,USA,Gold,19
2016,Summer,Beijing,Athletics,Event_17,Michael Phelps,Male,USA,Bronze,20
2020,Summer,Rio,Athletics,Event_13,Simone Biles,Male,Jamaica,Silver,21
